City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,isangel,-19.55,169.2667,28.5,83,87,4.48,VU,1706935973
37,port lincoln,-34.7333,135.8667,26.94,47,8,3.34,AU,1706935973
38,sarandi grande,-33.7333,-56.3333,20.74,65,0,5.37,UY,1706935973
39,yarmouth,41.7057,-70.2286,3.08,83,100,12.07,US,1706935973
40,cabedelo,-6.9811,-34.8339,26.37,81,95,5.37,BR,1706935973
41,lorengau,-2.0226,147.2712,29.28,73,92,5.1,PG,1706935973
42,whitehorse,60.7161,-135.0538,-23.57,58,75,2.06,CA,1706935974
43,ilulissat,69.2167,-51.1,-20.99,54,75,4.63,GL,1706935974
44,nar'yan-mar,67.6713,53.087,-9.38,90,88,6.71,RU,1706935974
45,kilindoni,-7.9139,39.6668,27.55,81,100,3.18,TZ,1706935974
46,kodiak,57.79,-152.4072,-5.27,86,100,0.0,US,1706935974
47,mildura,-34.2,142.15,36.71,23,10,2.12,AU,1706935974
48,bridlington,54.0831,-0.1919,12.72,86,80,1.34,GB,1706935974
49,stanley,54.868,-1.6985,10.95,81,40,10.29,GB,1706935974
50,huarmey,-10.0681,-78.1522,24.43,83,95,3.06,PE,1706935975
51,geraldton,-28.7667,114.6,28.23,57,2,10.8,AU,1706935785
52,ushuaia,-54.8,-68.3,3.81,93,100,6.17,AR,1706935975
53,vitorino freire,-4.0667,-45.1667,23.14,98,97,1.5,BR,1706935975
54,margaret river,-33.95,115.0667,20.31,63,92,7.47,AU,1706935975
55,iqaluit,63.7506,-68.5145,-29.06,68,75,2.06,CA,1706935975
56,gokak,16.1667,74.8333,27.41,33,54,6.7,IN,1706935975
57,tucurui,-3.7661,-49.6725,22.34,98,100,0.94,BR,1706935878
58,ilha de mocambique,-15.0342,40.7358,25.86,88,7,4.8,MZ,1706935976
59,jincheng,35.5022,112.8328,-2.27,85,97,1.09,CN,1706935976
60,tiksi,71.6872,128.8694,-28.22,100,99,1.35,RU,1706935976
61,puerto natales,-51.7236,-72.4875,4.41,82,51,3.76,CL,1706935976
62,choyr,46.3611,108.3611,-17.28,72,5,0.85,MN,1706935976
63,hermanus,-34.4187,19.2345,21.56,89,69,2.68,ZA,1706935976
64,pariaman,-0.619,100.12,25.16,93,100,3.81,ID,1706935976
65,puerto ayora,-0.7393,-90.3518,25.31,90,61,3.61,EC,1706935976
66,isafjordur,66.0755,-23.124,-5.69,72,79,5.89,IS,1706935977
67,crane,31.3974,-102.3501,12.09,40,39,6.24,US,1706935977
68,richards bay,-28.783,32.0377,23.5,76,0,4.7,ZA,1706935850
69,happy valley-goose bay,53.3168,-60.3315,-21.83,71,0,1.54,CA,1706935977
70,bandarban,22.1965,92.2262,21.84,37,0,0.98,BD,1706935977
71,paso de los toros,-32.8167,-56.5167,21.71,59,0,5.61,UY,1706935977
72,la passe,45.5549,-0.8967,8.88,91,62,3.05,FR,1706935977
73,channagiri,14.0333,75.9333,28.45,32,59,3.08,IN,1706935977
74,buala,-8.145,159.5921,28.73,81,99,4.69,SB,1706935978
75,sesvete,45.8311,16.1164,3.78,86,0,2.06,HR,1706935978
76,puerto maldonado,-12.6,-69.1833,23.52,97,76,0.21,PE,1706935978
77,port saint john's,-31.6229,29.5448,24.19,79,99,3.4,ZA,1706935978
78,college,64.8569,-147.8028,-38.08,67,100,0.0,US,1706935978
79,coihueco,-36.6167,-71.8333,21.41,56,0,6.17,CL,1706935916
80,edinburgh of the seven seas,-37.0676,-12.3116,17.34,94,93,6.28,SH,1706935978
81,port mathurin,-19.6833,63.4167,26.97,75,70,8.55,MU,1706935979
82,masvingo,-20.0637,30.8277,15.03,100,20,1.54,ZW,1706935979
83,bodaybo,57.8506,114.1933,-18.93,91,97,0.19,RU,1706935979
84,tual,-5.6667,132.75,28.66,79,20,6.73,ID,1706935979
85,mao,39.8885,4.2658,10.31,100,0,2.57,ES,1706935979
86,olonkinbyen,70.9221,-8.7187,-5.5,65,100,10.4,SJ,1706935979
87,kabompo,-13.5927,24.2008,17.39,97,94,1.29,ZM,1706935979
88,dunedin,-45.8742,170.5036,15.45,61,29,3.58,NZ,1706935979
89,alice springs,-23.7,133.8833,33.75,22,75,7.72,AU,1706935731
90,kaleke mandi,31.9772,73.6026,14.9,37,100,3.87,PK,1706935980
91,thunder bay,48.4001,-89.3168,-11.01,92,0,2.06,CA,1706935980
92,andkhoy,36.9529,65.1238,7.18,62,90,4.07,AF,1706935980
93,pozo alcon,37.7026,-2.9337,7.2,74,2,2.73,ES,1706935980
94,rongelap,11.1635,166.8941,26.49,86,55,9.3,MH,1706935980
95,muynoq,43.7683,59.0214,-1.54,81,71,2.79,UZ,1706935980
96,papatowai,-46.5619,169.4708,14.04,55,20,7.49,NZ,1706935981
97,bilibino,68.0546,166.4372,-23.48,81,21,3.44,RU,1706935981
98,invercargill,-46.4,168.35,14.45,63,11,8.05,NZ,1706935981
99,lihue,21.9789,-159.3672,21.77,58,100,10.8,US,1706935981
100,pangai,-19.8,-174.35,30.06,74,75,2.57,TO,1706935981
101,san javier,37.8063,-0.8374,9.99,85,5,1.79,ES,1706935981
102,kone,-21.0595,164.8658,30.5,72,97,2.35,NC,1706935981
103,boyolangu,-8.1181,111.8935,29.19,76,89,4.13,ID,1706935982
104,elliot lake,46.3834,-82.6331,-7.98,92,14,0.59,CA,1706935982
105,gaoual,11.75,-13.2,22.75,24,2,0.81,GN,1706935982
106,praia da vitoria,38.7333,-27.0667,16.14,88,40,5.58,PT,1706935982
107,nizhnesortymskiy,62.4397,71.7603,-20.98,100,100,3.44,RU,1706935982
108,port elizabeth,-33.918,25.5701,21.29,96,40,0.0,ZA,1706935982
109,vilyuchinsk,52.9306,158.4028,-9.85,77,4,3.8,RU,1706935982
110,enewetak,11.3474,162.3373,26.59,87,19,9.93,MH,1706935983
111,camiri,-20.05,-63.5167,24.3,51,77,0.97,BO,1706935983
112,changping,40.2186,116.2197,1.8,31,1,1.38,CN,1706935983
113,tolanaro,-25.0319,46.9987,24.04,78,75,5.14,MG,1706935983
114,fisterra,42.9049,-9.2629,10.01,80,77,2.25,ES,1706935983
115,sidi bel abbes,35.1899,-0.6309,5.5,84,3,1.86,DZ,1706935983
116,kapuskasing,49.4169,-82.4331,-8.0,86,0,3.6,CA,1706935983
117,taoudenni,22.6783,-3.9836,15.08,21,43,5.04,ML,1706935984
118,mabaruma,8.2,-59.7833,20.48,95,33,1.21,GY,1706935984
119,yershov,51.3513,48.2766,-4.24,82,94,7.36,RU,1706935984
120,urucara,-2.5364,-57.76,23.09,98,100,1.54,BR,1706935984
